Year,Month,Day,Hour,Minute,DNI,DHI,Wind Speed,Temperature,GHI,PoA Irradiance (W/m^2),kW Generated (1000 kW Array)
2016,1,1,0,0,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,0,15,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,0,30,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,0,45,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,1,0,0.0,0.0,2.8,3.0,0.0,0.0,0.0
2016,1,1,1,15,0.0,0.0,2.85,3.0,0.0,0.0,0.0
2016,1,1,1,30,0.0,0.0,2.9,3.0,0.0,0.0,0.0
2016,1,1,1,45,0.0,0.0,2.95,3.0,0.0,0.0,0.0
2016,1,1,2,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
2016,1,1,2,15,0.0,0.0,3.05,2.5,0.0,0.0,0.0
2016,1,1,2,30,0.0,0.0,3.1,2.0,0.0,0.0,0.0
2016,1,1,2,45,0.0,0.0,3.15,2.0,0.0,0.0,0.0
2016,1,1,3,0,0.0,0.0,3.2,2.0,0.0,0.0,0.0
2016,1,1,3,15,0.0,0.0,3.25,2.0,0.0,0.0,0.0
2016,1,1,3,30,0.0,0.0,3.3,2.0,0.0,0.0,0.0
2016,1,1,3,45,0.0,0.0,3.35,2.0,0.0,0.0,0.0
2016,1,1,4,0,0.0,0.0,3.4,2.0,0.0,0.0,0.0
2016,1,1,4,15,0.0,0.0,3.45,2.0,0.0,0.0,0.0
2016,1,1,4,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,4,45,0.0,0.0,3.55,2.0,0.0,0.0,0.0
2016,1,1,5,0,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,15,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,30,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,5,45,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,6,0,0.0,0.0,3.6,2.0,0.0,0.0,0.0
2016,1,1,6,15,0.0,0.0,3.55,2.0,0.0,0.0,0.0
2016,1,1,6,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,6,45,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,0,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,15,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,30,0.0,0.0,3.5,2.0,0.0,0.0,0.0
2016,1,1,7,45,171.0,15.0,3.55,2.5,30.5,11.42,0.0
2016,1,1,8,0,342.0,30.0,3.6,3.0,61.0,23.71,13.85
