pv_power_kW,ghi_Wm2,temperature_C
39.9586,173.4312,-1.9956
51.0491,221.5673,-2.4280
59.5809,258.5975,-1.2236
63.7580,276.7273,-3.3761
69.6057,302.1081,-5.8640
72.5347,314.8207,-4.8320
76.5974,332.4541,-5.7540
85.1683,369.6540,-3.8599
88.2584,383.0659,-4.1218
97.5993,423.6081,-5.5162
95.7171,415.4386,-2.1624
96.0124,416.7204,-4.0298
106.2241,461.0423,-8.5218
108.1138,469.2441,-4.7877
107.4618,466.4141,-6.6533
104.2832,452.6182,-7.1906
111.1644,482.4844,-9.4328
105.9459,459.8346,-8.0814
113.7165,493.5611,-5.9351
103.4892,449.1717,-7.0880
100.0822,434.3844,-8.1022
92.9269,403.3284,-6.8286
95.9378,416.3965,-6.7497
88.6596,384.8073,-7.9035
87.2267,378.5880,-6.2714
86.0993,373.6949,-8.6420
76.7449,333.0940,-11.8889
71.5195,310.4145,-6.8060
60.2909,261.6791,-9.8705
57.2067,248.2930,-9.9868
48.8164,211.8768,-7.7925
39.8049,172.7643,-9.8657
32.8618,142.6295,-8.8966
23.3838,101.4921,-11.4005
14.5468,63.1371,-10.4488
5.9276,25.7274,-6.3628
0.0000,0.0000,-8.7315
0.0000,0.0000,-11.9010
0.0000,0.0000,-8.8172
0.0000,0.0000,-9.0611
0.0000,0.0000,-8.6704
0.0000,0.0000,-6.7313
0.0000,0.0000,-7.0684
0.0000,0.0000,-5.9432
0.0000,0.0000,-6.9434
0.0000,0.0000,-9.0707
0.0000,0.0000,-7.1825
0.0000,0.0000,-9.3920
0.0000,0.0000,-8.3817
0.0000,0.0000,-7.8788
0.0000,0.0000,-7.3765
0.0000,0.0000,-4.6751
0.0000,0.0000,-5.2411
0.0000,0.0000,-7.6749
0.0000,0.0000,-4.5510
0.0000,0.0000,-6.4706
0.0000,0.0000,-3.5053
0.0000,0.0000,-3.5854
0.0000,0.0000,-4.6556
0.0000,0.0000,-2.8731
0.0000,0.0000,-0.1954
0.0000,0.0000,-4.4680
0.0000,0.0000,-3.8368
0.0000,0.0000,-0.3389
0.0000,0.0000,-0.3431
0.0000,0.0000,-0.2773
0.0000,0.0000,-1.6125
0.0000,0.0000,-2.3257
0.0000,0.0000,-0.8683
0.0000,0.0000,-0.1140
0.0000,0.0000,-0.3019
0.0000,0.0000,-0.5278
0.0000,0.0000,0.9804
0.0000,0.0000,-1.4102
0.0000,0.0000,-0.0040
0.0000,0.0000,1.1563
0.0000,0.0000,-0.7288
0.0000,0.0000,-0.0540
0.0000,0.0000,0.9902
0.0000,0.0000,0.9609
0.0000,0.0000,-0.6140
0.0000,0.0000,0.7884
0.0000,0.0000,1.2057
0.0000,0.0000,2.2403
0.0000,0.0000,-1.5251
0.0000,0.0000,1.2190
0.0000,0.0000,1.1038
0.0000,0.0000,1.0525
0.0000,0.0000,1.4729
0.0000,0.0000,-0.6038
0.0000,0.0000,-1.4807
0.0000,0.0000,-1.2570
4.3265,18.7783,-3.5536
11.6832,50.7085,-1.6994
21.9025,95.0630,-2.8610
31.6863,137.5275,-2.6059
39.1039,169.7216,-2.6903
48.7860,211.7446,-5.0391
52.5732,228.1822,-1.0208
61.5586,267.1812,-1.8482
63.9654,277.6276,-3.4205
72.3252,313.9115,-0.5892
75.1069,325.9849,-2.1834
91.7762,398.3340,-6.1649
98.1987,426.2095,-5.2744
100.0630,434.3014,-5.9303
80.4867,349.3347,-6.4021
95.0705,412.6325,-2.7397
102.4333,444.5889,-5.3108
98.0528,425.5762,-4.0753
102.1610,443.4070,-5.4331
105.2646,456.8776,-6.3196
109.9137,477.0562,-5.7197
100.7153,437.1324,-3.7912
106.4768,462.1389,-6.3742
101.7580,441.6581,-7.8218
99.6260,432.4046,-6.4740
96.0943,417.0759,-6.6227
101.1766,439.1345,-7.2352
89.3246,387.6937,-7.2493
87.5113,379.8232,-8.3670
79.4685,344.9152,-7.8766
75.5535,327.9233,-7.1841
73.6055,319.4682,-6.9893
66.0398,286.6310,-9.5079
55.8773,242.5230,-8.9713
46.3762,201.2858,-6.0315
37.8523,164.2896,-7.4650
33.6619,146.1019,-8.2703
22.6158,98.1589,-9.0884
15.8651,68.8591,-9.3907
5.8300,25.3038,-8.4974
0.0000,0.0000,-10.2758
0.0000,0.0000,-8.5801
0.0000,0.0000,-9.5388
0.0000,0.0000,-10.8693
0.0000,0.0000,-9.6206
0.0000,0.0000,-7.9038
0.0000,0.0000,-6.8931
0.0000,0.0000,-8.0006
0.0000,0.0000,-7.7762
0.0000,0.0000,-7.0255
0.0000,0.0000,-6.4776
0.0000,0.0000,-7.1538
0.0000,0.0000,-5.6776
0.0000,0.0000,-6.0882
0.0000,0.0000,-5.9798
0.0000,0.0000,-5.7833
0.0000,0.0000,-3.3302
0.0000,0.0000,-1.9585
0.0000,0.0000,-3.5570
0.0000,0.0000,-1.2552
0.0000,0.0000,-5.4724
0.0000,0.0000,-7.0717
0.0000,0.0000,-4.6989
0.0000,0.0000,-2.7248
0.0000,0.0000,-1.4931
0.0000,0.0000,-3.9533
0.0000,0.0000,-4.2798
0.0000,0.0000,-0.2323
0.0000,0.0000,-4.2826
0.0000,0.0000,-1.6068
0.0000,0.0000,-3.5607
0.0000,0.0000,-0.9083
0.0000,0.0000,-1.3524
0.0000,0.0000,-2.0551
0.0000,0.0000,-0.0656
0.0000,0.0000,1.0119
0.0000,0.0000,-2.1839
0.0000,0.0000,0.7700
0.0000,0.0000,2.7333
0.0000,0.0000,2.2907
0.0000,0.0000,3.7079
0.0000,0.0000,0.3176
0.0000,0.0000,1.7124
0.0000,0.0000,-0.6709
0.0000,0.0000,2.3748
0.0000,0.0000,-0.9984
0.0000,0.0000,0.3403
0.0000,0.0000,2.9446
0.0000,0.0000,3.0597
0.0000,0.0000,-2.0333
0.0000,0.0000,0.9826
0.0000,0.0000,-2.8297
0.0000,0.0000,-1.8394
0.0000,0.0000,0.4944
0.0000,0.0000,-1.0169
0.0000,0.0000,-0.5477
3.7295,16.1871,0.0787
12.4556,54.0607,-1.0767
21.2677,92.3078,-2.9659
30.7014,133.2524,-2.4846
38.9320,168.9755,-1.9632
49.3342,214.1240,-2.7160
54.0181,234.4534,-5.6712
67.1851,291.6020,-0.0571
71.3799,309.8088,-2.3707
80.4020,348.9672,-3.3481
73.6622,319.7145,-3.1739
79.4945,345.0281,-4.7746
100.7117,437.1168,-2.8093
104.2883,452.6403,-4.3427
108.6130,471.4104,-3.9760
101.6904,441.3645,-6.4206
111.1388,482.3732,-2.5617
110.8960,481.3193,-6.7149
104.8799,455.2078,-7.3411
104.0186,451.4694,-5.9375
107.8931,468.2862,-7.9931
113.7058,493.5150,-6.1582
108.3098,470.0946,-6.0484
109.2531,474.1889,-8.4224
98.8017,428.8269,-10.3746
100.7001,437.0666,-7.5013
100.4316,435.9009,-10.5908
86.0061,373.2903,-9.2668
83.4032,361.9929,-9.0387
79.7575,346.1699,-7.3625
79.1457,343.5141,-6.5888
67.1581,291.4848,-8.0008
65.0941,282.5265,-9.8673
55.9959,243.0379,-7.2840
49.8913,216.5423,-9.7067
39.9145,173.2400,-8.5293
33.2129,144.1532,-6.0186
23.5944,102.4061,-7.3192
13.3579,57.9769,-10.6011
5.9815,25.9612,-9.0080
0.0000,0.0000,-8.4709
0.0000,0.0000,-7.6223
0.0000,0.0000,-8.3977
0.0000,0.0000,-10.8340
0.0000,0.0000,-7.9541
0.0000,0.0000,-7.3399
0.0000,0.0000,-7.8257
0.0000,0.0000,-8.5800
0.0000,0.0000,-6.4217
0.0000,0.0000,-7.3211
0.0000,0.0000,-6.4570
0.0000,0.0000,-5.3533
0.0000,0.0000,-7.0365
0.0000,0.0000,-7.0096
0.0000,0.0000,-4.9096
0.0000,0.0000,-4.4345
0.0000,0.0000,-4.8057
0.0000,0.0000,-6.2678
0.0000,0.0000,-7.4524
0.0000,0.0000,-3.4772
0.0000,0.0000,-3.7118
0.0000,0.0000,-0.1361
0.0000,0.0000,-3.3150
0.0000,0.0000,-2.4347
0.0000,0.0000,-4.0233
0.0000,0.0000,0.2985
0.0000,0.0000,0.1715
0.0000,0.0000,-3.4047
0.0000,0.0000,-1.5481
0.0000,0.0000,-3.8926
0.0000,0.0000,-1.3249
0.0000,0.0000,-2.3531
0.0000,0.0000,0.6386
0.0000,0.0000,-2.3075
0.0000,0.0000,-0.6686
0.0000,0.0000,-0.3637
0.0000,0.0000,-0.1702
0.0000,0.0000,-3.6927
0.0000,0.0000,0.1413
0.0000,0.0000,3.3764
0.0000,0.0000,0.2946
0.0000,0.0000,4.6323
0.0000,0.0000,0.8464
0.0000,0.0000,1.1547
0.0000,0.0000,0.0078
0.0000,0.0000,0.8085
0.0000,0.0000,-0.2438
0.0000,0.0000,0.3898
0.0000,0.0000,-3.2785
0.0000,0.0000,2.4721
0.0000,0.0000,-0.0263
0.0000,0.0000,-1.7586
0.0000,0.0000,-1.4674
0.0000,0.0000,1.4292
0.0000,0.0000,0.9176
0.0000,0.0000,-1.1593
3.8266,16.6084,0.4733
12.9441,56.1808,0.2315
21.6914,94.1468,0.6511
31.9393,138.6255,-0.4642
40.1543,174.2807,-3.4215
46.9292,203.6860,-2.6174
52.8448,229.3610,-4.2441
64.6383,280.5482,-4.3582
60.7930,263.8586,-0.2060
75.2446,326.5825,-3.8867
81.4118,353.3500,-1.7372
87.7690,380.9417,-4.2632
93.5377,405.9797,-6.6100
100.4001,435.7642,-4.1155
100.0531,434.2585,-4.1760
98.3868,427.0262,-4.7265
108.2004,469.6198,-7.8928
110.6001,480.0350,-5.2679
119.6022,519.1069,-4.4366
101.3839,440.0341,-7.1935
113.0395,490.6228,-7.6334
104.2910,452.6518,-7.7399
102.0887,443.0934,-9.1161
112.7119,489.2011,-8.7656
106.7176,463.1840,-7.3031
104.8235,454.9629,-8.6674
111.6645,484.6548,-8.1556
89.0166,386.3569,-8.2546
84.8512,368.2777,-5.6562
80.0659,347.5082,-7.5805
79.8101,346.3980,-11.0195
69.6667,302.3727,-8.8911
64.6011,280.3865,-10.8774
58.7734,255.0927,-8.1090
51.5458,223.7233,-8.3132
37.1455,161.2216,-8.3897
33.3832,144.8925,-10.9599
25.7519,111.7703,-9.0934
15.3890,66.7925,-8.9574
6.0954,26.4558,-8.8045
0.0000,0.0000,-9.5262
0.0000,0.0000,-8.4462
0.0000,0.0000,-6.7806
0.0000,0.0000,-8.8095
0.0000,0.0000,-6.2044
0.0000,0.0000,-6.6544
0.0000,0.0000,-7.6110
0.0000,0.0000,-7.6806
0.0000,0.0000,-8.3563
0.0000,0.0000,-3.8932
0.0000,0.0000,-7.7568
0.0000,0.0000,-4.4533
0.0000,0.0000,-7.1751
0.0000,0.0000,-8.2729
0.0000,0.0000,-7.4644
0.0000,0.0000,-5.7040
0.0000,0.0000,-3.0131
0.0000,0.0000,-3.5438
0.0000,0.0000,-4.7716
0.0000,0.0000,-6.0559
0.0000,0.0000,-3.7951
0.0000,0.0000,-3.2840
0.0000,0.0000,-4.3488
0.0000,0.0000,-4.0040
0.0000,0.0000,-3.7068
0.0000,0.0000,-0.3068
0.0000,0.0000,-3.3799
0.0000,0.0000,-2.6617
0.0000,0.0000,-1.2404
0.0000,0.0000,1.0543
0.0000,0.0000,-1.9202
0.0000,0.0000,-0.3193
0.0000,0.0000,0.4786
0.0000,0.0000,-0.5510
0.0000,0.0000,-2.1470
0.0000,0.0000,0.0629
0.0000,0.0000,-0.4911
0.0000,0.0000,0.4149
0.0000,0.0000,4.3650
0.0000,0.0000,-0.0443
0.0000,0.0000,1.8077
0.0000,0.0000,1.7350
0.0000,0.0000,1.7984
0.0000,0.0000,2.1752
0.0000,0.0000,2.5552
0.0000,0.0000,3.0177
0.0000,0.0000,0.6618
0.0000,0.0000,2.6689
0.0000,0.0000,1.3379
0.0000,0.0000,0.7330
0.0000,0.0000,0.8613
0.0000,0.0000,-1.6002
0.0000,0.0000,1.2536
0.0000,0.0000,-0.3491
0.0000,0.0000,0.2961
0.0000,0.0000,-0.4285
4.4533,19.3285,-0.2293
13.5737,58.9135,0.8624
22.5296,97.7848,-2.0512
28.2449,122.5906,-2.1053
43.2694,187.8014,-1.5507
52.9495,229.8154,-3.9127
56.7996,246.5260,-2.7918
65.2702,283.2909,-1.9792
64.2937,279.0526,-1.3493
75.4918,327.6556,-0.2067
74.5169,323.4241,-4.3373
88.5191,384.1977,-3.9869
85.3707,370.5324,-1.7865
102.8122,446.2335,-3.7650
103.5851,449.5882,-3.9332
111.4701,483.8113,-4.6328
105.3939,457.4388,-3.0860
119.3238,517.8985,-5.6195
110.0491,477.6436,-6.8871
105.7079,458.8015,-6.8328
107.0686,464.7077,-10.0879
114.3224,496.1908,-5.5513
102.0871,443.0862,-7.0675
99.1788,430.4634,-4.9937
102.6455,445.5098,-7.4473
88.8440,385.6076,-8.0821
91.6041,397.5873,-8.3405
96.6407,419.4474,-8.9662
95.6402,415.1048,-6.8953
79.9118,346.8394,-7.3891
81.3214,352.9576,-7.6188
68.7179,298.2550,-6.7107
72.0109,312.5475,-9.8155
57.6404,250.1755,-9.8332
48.4405,210.2451,-8.2731
39.9958,173.5930,-8.9779
36.4354,158.1397,-8.2976
24.6322,106.9107,-8.0211
15.3282,66.5288,-11.4122
6.7241,29.1843,-9.5808
0.0000,0.0000,-10.6204
0.0000,0.0000,-8.3501
0.0000,0.0000,-6.0456
0.0000,0.0000,-6.8185
0.0000,0.0000,-8.5412
0.0000,0.0000,-7.1310
0.0000,0.0000,-5.7041
0.0000,0.0000,-8.6497
0.0000,0.0000,-6.7466
0.0000,0.0000,-8.0743
0.0000,0.0000,-7.0342
0.0000,0.0000,-5.9146
0.0000,0.0000,-5.2946
0.0000,0.0000,-4.4404
0.0000,0.0000,-6.4092
0.0000,0.0000,-7.5013
0.0000,0.0000,-5.9478
0.0000,0.0000,-4.9979
0.0000,0.0000,-4.4895
0.0000,0.0000,-2.7847
0.0000,0.0000,-6.2870
0.0000,0.0000,-1.3740
0.0000,0.0000,-3.8225
0.0000,0.0000,-3.4591
0.0000,0.0000,-2.0851
0.0000,0.0000,-0.7995
0.0000,0.0000,-2.4273
0.0000,0.0000,-1.8481
0.0000,0.0000,-0.3607
0.0000,0.0000,-0.0753
0.0000,0.0000,-0.7904
0.0000,0.0000,0.7191
0.0000,0.0000,1.0804
0.0000,0.0000,2.9396
0.0000,0.0000,1.6769
0.0000,0.0000,1.1244
0.0000,0.0000,-0.5576
0.0000,0.0000,0.2462
0.0000,0.0000,1.9724
0.0000,0.0000,1.0082
0.0000,0.0000,4.4826
0.0000,0.0000,1.2535
0.0000,0.0000,2.6634
0.0000,0.0000,1.9953
0.0000,0.0000,3.4980
0.0000,0.0000,1.4911
0.0000,0.0000,0.9089
0.0000,0.0000,1.4339
0.0000,0.0000,3.2981
0.0000,0.0000,0.4163
0.0000,0.0000,2.4515
0.0000,0.0000,1.4284
0.0000,0.0000,-0.0683
0.0000,0.0000,-0.0198
0.0000,0.0000,-0.2450
0.0000,0.0000,-1.8373
4.9099,21.3103,-1.6870
11.8949,51.6273,-1.6138
24.7403,107.3796,0.6064
35.3758,153.5409,0.2984
34.0081,147.6045,2.0827
43.2919,187.8989,-0.1084
60.1500,261.0675,-1.0944
66.0821,286.8148,-1.1081
70.2264,304.8023,-2.6535
74.9568,325.3335,-5.4177
77.3712,335.8124,-4.8565
94.7254,411.1347,-2.1492
87.0706,377.9104,-2.4426
95.4995,414.4944,-3.3556
101.1562,439.0458,-6.5074
105.6494,458.5477,-7.2187
106.1418,460.6849,-4.3191
116.8896,507.3333,-5.2731
110.3290,478.8584,-4.9522
110.5040,479.6179,-7.1181
101.2166,439.3080,-3.7293
105.2771,456.9318,-7.7092
106.6723,462.9873,-5.0259
108.4880,470.8680,-8.4035
97.0260,421.1198,-6.9245
103.7307,450.2202,-7.8908
97.8890,424.8656,-8.0410
105.5675,458.1921,-8.8473
88.2034,382.8274,-4.3143
91.3878,396.6485,-5.8215
80.1294,347.7841,-6.0305
70.3723,305.4352,-9.4609
61.9889,269.0490,-10.5192
54.6467,237.1818,-8.4070
50.5860,219.5574,-7.5606
42.5494,184.6760,-7.0015
36.5840,158.7846,-8.2252
24.6030,106.7836,-8.0055
16.2775,70.6487,-10.1919
6.1269,26.5924,-8.9245
0.0000,0.0000,-9.7866
0.0000,0.0000,-6.9514
0.0000,0.0000,-10.1116
0.0000,0.0000,-6.5184
0.0000,0.0000,-4.7048
0.0000,0.0000,-7.7230
0.0000,0.0000,-7.6202
0.0000,0.0000,-6.5507
0.0000,0.0000,-8.5682
0.0000,0.0000,-9.9047
0.0000,0.0000,-8.5526
0.0000,0.0000,-6.0487
0.0000,0.0000,-6.3628
0.0000,0.0000,-5.9424
0.0000,0.0000,-4.3885
0.0000,0.0000,-5.0598
0.0000,0.0000,-6.1499
0.0000,0.0000,-5.0916
0.0000,0.0000,-3.7016
0.0000,0.0000,-4.1385
0.0000,0.0000,-2.2249
0.0000,0.0000,-3.5642
0.0000,0.0000,-1.1158
0.0000,0.0000,-2.8627
0.0000,0.0000,-4.1573
0.0000,0.0000,-3.1608
0.0000,0.0000,-1.8553
